CRUISE,CTD_INDEX,CTD_DEPTH,Temperature,Salinity,Density,Chlorophyll,Oxygen,station
2103,116,36,9.608699799,33.84540176,26.11630058,0.399276882,3.515000105,MON
2103,116,38,9.576499939,33.84989929,26.12520027,0.358782679,3.457000017,MON
2103,116,40,9.514699936,33.86560059,26.14760017,0.326322973,3.371000051,MON
2103,116,42,9.481200218,33.87739944,26.16239929,0.268229902,3.3099999429999998,MON
2103,116,44,9.46020031,33.8830986,26.17029953,0.246379763,3.232000113,MON
2103,116,46,9.427100182,33.89080048,26.18180084,0.162912309,3.167999983,MON
2103,116,48,9.401599884,33.89350128,26.18799973,0.102641135,3.138000011,MON
2103,116,50,9.382399559,33.89659882,26.1935997,0.130510792,3.102999926,MON
2103,116,52,9.333999634,33.91040039,26.21229935,0.149434626,3.048000097,MON
2103,116,54,9.325300217,33.91320038,26.2159996,0.06614989,3.032999992,MON
2103,116,56,9.311499596,33.91839981,26.22220039,0.066368565,2.99000001,MON
2103,116,58,9.296999931,33.92490005,26.22970009,0.017851513,2.911000013,MON
2103,116,60,9.264300346,33.93880081,26.2458992,0,2.823999882,MON
2103,116,62,9.246999741,33.94279861,26.25189972,0,2.799000025,MON
2103,116,64,9.229499817,33.94720078,26.25819969,0,2.773000002,MON
2103,116,66,9.217599869,33.95050049,26.26269913,0,2.753000021,MON
2103,116,68,9.176400185,33.95759964,26.27490044,0,2.680999994,MON
2103,116,70,9.116499901,33.96480179,26.29019928,0,2.631000042,MON
2103,116,72,9.095899582,33.96770096,26.29579926,0,2.608999968,MON
2103,116,74,9.098500252,33.96910095,26.29649925,0,2.609999895,MON
2103,116,76,9.098199844,33.9695015,26.2968998,0,2.595000029,MON
2103,116,78,9.098099709,33.96960068,26.29700089,0,2.595999956,MON
2103,116,80,9.094599724,33.96920013,26.29730034,0,2.594000101,MON
2103,116,82,9.08010006,33.96920013,26.2996006,0,2.576999903,MON
2103,116,84,9.066100121,33.97430038,26.30590057,0,2.538000107,MON
2103,116,86,9.035699844,33.98270035,26.3173008,0,2.493999958,MON
2103,116,88,8.995499611,33.98809814,26.32789993,0,2.45600009,MON
2103,116,90,8.96269989,33.99280167,26.33690071,0,2.424000025,MON
2103,116,92,8.961099625,33.99340057,26.33760071,0,2.417999983,MON
2103,116,94,8.961799622,33.99340057,26.33749962,0,2.417000055,MON
2103,116,96,8.96020031,33.9939003,26.33819962,0,2.3949999809999998,MON
2103,116,98,8.928099632,33.99760056,26.34630013,0,2.380000114,MON
2103,116,100,8.894800186,34.00139999,26.35440063,0,2.34800005,MON
2103,116,102,8.835800171,34.00889969,26.3696003,0,2.299999952,MON
2103,116,104,8.797400475,34.01139832,26.37770081,0,2.272000074,MON
2103,116,106,8.734000206,34.01819992,26.39290047,0,2.24000001,MON
2103,116,108,8.655900002,34.02180099,26.40789986,0,2.230999947,MON
2103,116,110,8.638299942,34.02299881,26.41160011,0,2.220999956,MON
2103,116,112,8.619700432,34.02550125,26.41650009,0,2.190999985,MON
2103,116,114,8.594200134,34.02899933,26.42320061,0,2.167000055,MON
2103,114,4,10.96109962,33.8608017,25.89539909,1.422406435,5.139999866,MON
2103,114,6,10.96510029,33.86090088,25.89489937,1.282649994,5.171999931,MON
2103,114,8,10.96350002,33.86100006,25.89529991,1.196963668,5.165999889,MON
2103,114,10,10.96879959,33.86109924,25.89439964,1.41846478,5.160999775,MON
2103,114,12,10.97949982,33.86130142,25.8927002,1.389681935,5.165999889,MON
2103,114,14,10.98589993,33.86100006,25.89139938,1.39773941,5.172999859,MON
2103,114,16,10.98869991,33.86109924,25.89100075,1.537874699,5.186999798,MON
2103,114,18,10.95820045,33.8606987,25.89620018,1.863666177,5.129000187,MON
2103,114,20,10.85960007,33.86019897,25.91340065,2.016183853,4.940999985,MON
2103,114,22,10.65200043,33.86119843,25.95079994,1.844523191,4.592000008,MON
2103,114,24,10.19550037,33.86299896,26.03129959,1.302579284,4.0399999619999996,MON
2103,114,26,9.99090004,33.86009979,26.06389999,1.06581378,3.773000002,MON
2103,114,28,9.719599724,33.86959839,26.11660004,0.644158304,3.334000111,MON
2103,114,30,9.41779995,33.90269852,26.1923008,0.223988935,3.035000086,MON
2103,114,32,9.363300323,33.90829849,26.20560074,0.198067725,2.953999996,MON
2103,114,34,9.324799538,33.91770172,26.21920013,0.169641539,2.892999887,MON
2103,114,36,9.286899567,33.92890167,26.23410034,0.201320589,2.84100008,MON
2103,114,38,9.251999855,33.9355011,26.24489975,0.204392061,2.782999992,MON
2103,114,40,9.229399681,33.93999863,26.25209999,0.217790946,2.752000093,MON
